,Date,Text
49,2020-03-30 12:12:11+00:00,🇬🇷 | Greek Prime Minister Kyriakos Mitsotakis has called on the lawmakers of his New Democracy party (EPP) to set aside half of their salary for a special coronavirus account for the next two months. 
50,2020-03-30 12:10:12+00:00,"😷 What are countries around the world doing to contain &amp; slow the spread of the #coronavirus? Our 🆕 #COVID19 Country Policy Tracker allows you to explore the actions taken by each country to support citizens, businesses and the economy ➡️ http://oecd.org/coronavirus/en/#country-policy-tracker"
51,2020-03-30 19:44:00+00:00,Diligent hand-washing with soap and water -- one of the main defences against the new coronavirus -- is difficult or impossible in many countries 
52,2020-03-30 19:39:31+00:00,"In this #COVID19 crisis there are going to be countries that panic, countries that isolate and countries that show humility and resilience- #Portugal to treat #migrants as residents during coronavirus crisis "
53,2020-03-30 19:24:59+00:00,"a donald, mais pas trump lol #coronavirus #JeResteChezMoi"
54,2020-03-30 17:19:35+00:00,"De kortste, meest to the point rap over het corona-virus! https://www.instagram.com/p/B-XYsO0nK5s/?igshid=10ca1bi7ru9av"
55,2020-03-30 15:43:11+00:00,"Dominic Cummings goes into self-isolation, Austria will hand out face masks in supermarkets, and more in today's Coronavirus Daily Update https://politi.co/340v2hN"
56,2020-03-30 14:29:57+00:00,Fiscal measures range from tax deferrals to loan guarantees https://www.ft.com/content/26af5520-6793-11ea-800d-da70cff6e4d3 #EU #EUpol
57,2020-03-30 12:33:50+00:00,“Real change takes place in deep crisis. You will not stop the momentum that will build.” @SchleicherOECD spoke to @qz about the challenges and opportunities the #coronavirus #COVID19 crisis presents ⤵️ #LessonsForEducation
58,2020-03-30 12:08:34+00:00,"#Iran #Humanitaire: Iran news in brief, March 28, 2020... http://as-human-lu.blogspot.com/2020/03/iran-news-in-brief-march-28-2020.html #Luxembourg #HumanRights #FreeIran #CSDHI #CNRI #PMOI/ #MEK #coronavirus pic.twitter.com/580pYx1wiu"
59,2020-03-30 12:04:31+00:00,This is worth a listen. A wife’s account of her husbands C19 infection. Beautifully written and narrated that makes you feel that you’re there. It’s not flu! https://podcasts.apple.com/fr/podcast/the-daily/id1200361736?l=en&amp;i=1000469876070 #Covid_19 #NewYorkTimes
60,2020-03-30 11:36:28+00:00,"The EU stands by Eastern partners as part of the global response to #coronavirus: • we reallocated €140m for most immediate needs in Armenia, Azerbaijan, Belarus, Georgia, Republic of Moldova, Ukraine • we redirected €700m to mitigate economic impact https://europa.eu/!Hn44XH pic.twitter.com/QufdJJBsZF"
61,2020-03-30 11:32:57+00:00,"Wash your hands of coronavirus scams and retweet this post with friends and family, protect yourself and others #Coronavirus #ScamAware"
62,2020-03-30 11:30:30+00:00,"As #coronavirus spreads to poorer countries, here's how the world can help https://bit.ly/3auI5us #covid19 #inequality @oxfam"
63,2020-03-30 11:29:32+00:00,"Another heartbreaking video showing the sacrifice #healthworkers are making to keep us safe from the #coronavirus. Let's support them: wash/rub your hands frequently, cover your cough with your elbow or a tissue, keep physical distance, #StayHome when asked. Together!"
64,2020-03-30 11:10:35+00:00,"As part of our global response to #coronavirus pandemic, we are reallocating €140m for our Eastern Partner countries &amp; redirecting existing instruments up to €700m to help mitigate economic impact. I wrote to PMs of 🇦🇲 🇦🇿 🇧🇾 🇬🇪 🇲🇩 🇺🇦 to outline this. https://ec.europa.eu/commission/presscorner/detail/en/IP_20_562"
65,2020-03-30 11:03:33+00:00,"Famous for his championing of ""illiberal democracy"" Hungary's PM is set to put democracy well + truly to one side today. In the shadow of the #coronavirus Hungary's parliament is expected to approve a bill allowing him to rule by decree for unlimited time w/o allowing elections"
66,2020-03-30 11:00:01+00:00,"Coronavirus: A team from MIT is producing an open-source, low-cost ventilator design https://bit.ly/2UNjytL #coronavirus #engineering"
67,2020-03-30 10:59:43+00:00,"While the #coronavirus crisis is causing disruption to education, training and mobility opportunities across the EU and beyond, we want to make sure it does not hinder learning. We have gathered together a wide range of resources to support online learning ↓"
68,2020-03-30 10:59:23+00:00,"UNHCR’s leading public health expert Ann Burton says prevention and inclusion of #refugees &amp; those forced to flee must be at the heart of the #coronavirus response: Our Q&amp;A on how we are working to slow #COVID19 spread, reduce its impact and save lives."
69,2020-03-30 17:31:34+00:00,"🔴 BREAKING - Coronavirus: France reports 418 more deaths in the last 24 hours, toll now 3,024 https://f24.my/6Klu.t"
70,2020-03-30 15:06:33+00:00,"#Some4surgery Not wearing masks to protect against #COVID19 is a ‘big mistake,’ top Chinese scientist says"
71,2020-03-30 13:50:10+00:00,Over the weekend 44 new coronavirus cases were detected and two people died in Luxembourg. More here 👇 
72,2020-03-30 12:43:38+00:00,"“For communities suffering heavily from #HIV, #TB and #malaria, #COVID19 represents a double threat."" - @PeterASands in @Forbes http://ow.ly/rz7A50yZCVl @paimadhu"
73,2020-03-30 12:39:58+00:00,Evidence keeps growing on the unfair share of domestic chores and family care duties. So does need to ensure a #genderdimesion in all policies &amp; measures to tackle crisis: “Women's domestic burden just got heavier with the #coronavirus. ” 
74,2020-03-30 12:35:37+00:00,How do you adapt your IT infrastructure for #remote workforce? IBM #CIO @fletcherprevin will share practical advice for #WFH companies. Join the Think Leadership Livestream on 31/3 at 20H Paris time :
75,2020-03-30 12:30:14+00:00,"This month has by far been the strangest #MonthlyVlog I have created to date! Watching it back, seeing the reality of #Covid-19 take hold, is really surreal. But, there is lots of positives too, lambs and new Flock members! YouTubers"
76,2020-03-30 12:12:50+00:00,"#Iran #Humanitaire: #Coronavirus: Defiant Youth Target Security Forces in Tehran, Khomeini’s So-Called Relief Committee, a Center of Plunder in Qom... http://as-human-lu.blogspot.com/2020/03/iran-news-in-brief-january-29-2020.html #Luxembourg #HumanRights #FreeIran #CSDHI #CNRI #PMOI/ #MEK pic.twitter.com/FXHlkfZvAR"
77,2020-03-30 11:23:20+00:00,#COVID19: @EUCouncil adopts new legislation releasing #cohesionpolicy money from #EUBudget to help tackle the effects of #coronavirus pandemic. Entry into force in 2 days. Support for: ✅healthcare ✅SMEs ✅workers ✅community services Read the press release👇
78,2020-03-30 11:15:44+00:00,#EUAntitrust #coronavirus The Commission remains committed to providing swift antitrust guidance on cooperation initiatives in view of the coronavirus crisis and today launched a dedicated website on this subject https://ec.europa.eu/commission/presscorner/detail/en/mex_20_560
79,2020-03-30 10:59:00+00:00,"VIDEO: Every morning, Mexican fitness coach Pato Cervantes offers a free workout session for a neighbourhood in Hamburg, in northern Germany. He gets people to exercise who are confined to their houses because of the novel coronavirus "
80,2020-03-30 10:56:08+00:00,"We are working to bring Europeans back home. ✔ 4,384 EU citizens repatriated via the EU Civil Protection Mechanism ✔ Almost 100 flights planned this week ✔ We are proposing to boost the #EUBudget by €45 million to help repatriation efforts https://europa.eu/!QU38QC #coronavirus "
81,2020-03-30 10:53:07+00:00,"Government's across Europe are warning people to prepare for #coronavirus restrictions to last for quite a while. Austria's PM described situation as a marathon. As of Wednesday, wearing a mask will be compulsory in Austrian supermarkets - which will provide masks to customers."
82,2020-03-30 10:50:14+00:00,Follow the advice of your public health authorities and the websites of relevant EU and international organisations: @ECDC_EU ➡️ https://europa.eu/!Bp89Nq @WHO ➡️ https://who.int/emergencies/diseases/novel-coronavirus-2019 You can also help by not sharing unverified information from dubious sources. #coronavirus
83,2020-03-30 10:47:31+00:00,Bad luck or bad #policy response? How cognitive biases and partial solutions led Italy to become a disastrous battlefield of #Covid_19 #Harvard 👇
84,2020-03-30 10:30:00+00:00,#Coronavirus : John Krasinski et Steve Carell (#TheOffice) vous remontent le moral
85,2020-03-30 10:30:11+00:00,People who say COVID-19 vs People who say coronavirus #coronavirus #Covid_19 #week3
86,2020-03-30 09:22:52+00:00,The Red Cross Red Crescent volunteers and staff around the 🌍continue to do everything they can to halt the spread of #coronavirus. They are our #MondayMotivation. We are in this together! ❤️
87,2020-03-30 09:18:40+00:00,A little part of the Pokemon collection of my wife! The coronavirus confinement is the opportunity for us to optimize the storage of the goodises in the house ✌️ 
88,2020-03-30 09:11:59+00:00,"Due to spread of #coronavirus in Iranian prisons, several women prisoners have died, including 2 women in Qarchak Prison of Varamin. "
89,2020-03-30 09:10:41+00:00,Isaac Chotiner demonstrates once again that reading someone's direct quotes back to them and asking them to explain what they mean is the cheat code for exposing charlatans and cranks.
90,2020-03-30 09:01:04+00:00,Reasons to be positive amidst #COVID19 #coronavirus. 📕 Read more: http://bit.ly/3cteNxK
91,2020-03-30 07:42:15+00:00,"RT Europarl_EN ""📌Find out the latest news on the EU response to #Covid19 and the European Parliament's actions here ➡ http://eptwitter.eu/qp9d #EuropeansAgainstCovid19 """
92,2020-03-30 07:42:12+00:00,"RT Europarl_EN ""The European Parliament votes on measures to mobilise additional funds helping EU countries tackle the #Covid19 outbreak and its effects. Read more ➡️ http://eptwitter.eu/qp7x #EuropeansAgainstCovid19 """
93,2020-03-30 07:41:50+00:00,“Numbers that don’t matter right now”. CNN’s press guru @brianstelter writes in his daily briefing about the obscenity of Trump’s continued obsession with his TV ratings. #coronavirus. 
94,2020-03-30 07:33:04+00:00,Five days of worship in Mulhouse that set a #coronavirus time bomb in France 
95,2020-03-30 07:32:08+00:00,You can read here my article for @WiredUK about the lauch of @infotagion our new service to combat disinformation about COVID-19; 'Coronavirus lies are going viral. It’s essential we all fight back' 
96,2020-03-30 06:55:29+00:00,"The names of the first three doctors to have died from the Coronavirus: Mr. Amged el-Hawrani Dr. Adel el-Tayar Dr. Habib Zaidi Stick that on the front of the Mail, Sun, Express and Telegraph. #Covid_19 #coronavirus"
97,2020-03-30 05:50:59+00:00,#coronavirus still some work 🤞🏻!! 
98,2020-03-30 01:38:14+00:00,A field hospital for people suffering from #coronavirus is under construction in Central Park in #NewYork. #US
99,2020-03-30 01:00:35+00:00,"""Dr Horton said the Government’s plan had ‘failed’, and that not following WHO advice was a mistake. He wrote: ‘They didn’t isolate and quarantine. They didn’t contact trace.These basic principles were ignored for reasons that remain opaque’."""
100,2020-03-30 00:27:51+00:00,This is why Corona virus IS happening 
101,2020-03-29 23:27:28+00:00,"""The (No Deal Brexit) Monster Lurking Behind Coronavirus"" by Chris Riddell "
102,2020-03-29 22:14:51+00:00,Coronavirus case fatality rate by age. 
103,2020-03-29 22:06:15+00:00,"Female prisoners in the women’s ward of the Central Prison of Urmia turned down their lunch on Saturday, March 28, and threw it on the floor, declaring that they would be on hunger strike until they were granted temporary release due to the #coronavirus outbreak."
104,2020-03-29 21:59:40+00:00,Extremely urgent: 200 women in Central Prison of Urmia go on hunger strike in protest. Death of a female prisoner due to #coronavirus infection sparks outrage. https://women.ncr-iran.org/2020/03/29/200-women-in-central-prison-of-urmia-go-on-hunger-strike-in-protest/ .@UN_Women .@DubravkaSRVAW .@ForstMichel .@JavaidRehman .@mbachelet
105,2020-03-29 23:35:48+00:00,"“The epidemic has brought out the worst of Xi Jinping. He is so determined not to give an inch, rightly understanding an inch would mean hundreds of miles.” —Yang Jianli, Chinese dissident now based in U.S., co-sponsor of the Geneva Summit @yangjianli001"
106,2020-03-29 21:57:26+00:00,Authoritarianism kills. New York Times coronavirus exposé based on interviews &amp; leaked documents reveals how China's fail-safe system for reporting epidemics was stymied by a Communist regime that intimidates and crushes citizens who try to tell the truth. 
107,2020-03-29 21:39:47+00:00,A good overview from @ianbirrell of China’s response to #Coronavirus 
108,2020-03-29 21:34:00+00:00,"Life in locked-down Britain may not return to normal for six months or longer as it battles the coronavirus outbreak, a top health official warned, as the death toll reached more than 1,200 http://u.afp.com/3qfQ"
109,2020-03-29 21:11:04+00:00,"Iraqi Shi'ites test positive for coronavirus after pilgrimage to Syria, officials say https://f24.my/6KbC.t"
110,2020-03-29 21:06:02+00:00,How long does a coronavirus lockdown last? A @WHO expert explains https://bit.ly/3dCPwl6 #coronavirus 
111,2020-03-29 20:52:48+00:00,"“Quarantine is now over, Coronavirus is no longer a threat to the world.” "
112,2020-03-29 20:25:03+00:00,"TOGETHER in the fight against #coronavirus 💪🏼. We are working hard to provide a vital service, but staying at home is also vital. For you, for our elders, for ALL 🙏🏼 "
113,2020-03-29 19:39:19+00:00,French motorway today 😳 #lockdown #coronavirus 
114,2020-03-29 19:30:02+00:00,Coronavirus origins: genome analysis suggests two viruses may have combined https://bit.ly/33z38cw #coronavirus #covid19
115,2020-03-29 19:28:00+00:00,"As Italy mourns thousands of coronavirus dead, and survivors brace for life in an economic wasteland, one rung of society looks to win big: organised crime "
116,2020-03-29 18:23:07+00:00,#Jour13 Source : https://tinyurl.com/tz8cgxb #NousSommeEnGuerre #Confinementtotal #COVID19france #coronavirus #DessinDePresse #dessin #humour
117,2020-03-29 18:16:32+00:00,FACT: Drinking alcohol DOES NOT protect you against #COVID19 and can be dangerous. Frequent or excessive alcohol consumption can increase your risk of health problems. 👉🏽http://bit.ly/COVID19Mythbusters #coronavirus #KnowTheFacts
118,2020-03-29 18:06:38+00:00,"We screen the literature every day and update the global research platform on #COVID19. This helps @WHO and other agencies update their guidance based on the latest evidence. &gt;100,000 visitors/day last week. @DrTedros @DrMikeRyan @GroveJohn @ChrisJElias"
119,2020-03-29 17:48:50+00:00,The #Covid19 tracking portal made by @bing is one of the best ones. Simple and effective ! #dataviz
120,2020-03-29 17:24:14+00:00,FACT: Being able to hold your breath for 10 seconds or more without coughing or feeling discomfort DOES NOT mean you are free from the #coronavirus disease or any other lung disease. 👉🏽http://bit.ly/COVID19Mythbusters #COVID19 #KnowTheFacts
121,2020-03-29 17:07:11+00:00,"As humans retreat into their homes as more and more countries go under coronavirus lockdown, wild animals are slipping cover to explore the empty streets of some of our biggest cities "
122,2020-03-29 17:05:03+00:00,"How long coronavirus survives on surfaces - and what it means for handling money, food and more https://bit.ly/2WNuCK2 #coronavirus #health"
123,2020-03-29 16:52:34+00:00,"Coronavirus lockdown could last 'six months or more', warns UK chief medical officer https://f24.my/6KZO.t"
124,2020-03-29 16:34:27+00:00,"Tories are spending up to six figures on Lynton Crosby's social media manipulators who fuc**d you over in Dec at General Election. Now you are going to made to believe 15,000-20,000 deaths is a huge Boris the Liar success story by these bastards. https://www.campaignlive.co.uk/article/downing-street-calls-election-gurus-overhaul-coronavirus-comms/1678511?bulletin=campaign_agencies_bulletin"
125,2020-03-29 20:57:52+00:00,Scoop: Amazon warehouse workers in Staten Island are planning a strike on Monday to demand protections for employees who continue to come to work amid the coronavirus outbreak. They want Amazon to shut down JFK8 after an employee tested positive. 
126,2020-03-29 20:53:06+00:00,"Iraqi Shi'ites test positive for coronavirus after pilgrimage to Syria, officials say https://f24.my/6Kb1.t"
127,2020-03-29 16:27:48+00:00,"RABAT, March 27 (Reuters) - The European Union pledged 450 million euros in aid to help Morocco counter the coronavirus, a joint EU-Moroccan statement said on Friday. Why?"
128,2020-03-29 15:59:10+00:00,"So I have my ex blocked for the longest , he decided hit me up from a fake number and I replied that I have coronavirus ... haven’t heard from him since lmfao 🥴 "
129,2020-03-29 15:55:35+00:00,Fashion week masque coronavirus! 
130,2020-03-29 15:54:42+00:00,"You fear the coronavirus, have you thought about the fire? "
131,2020-03-29 15:27:06+00:00,What else spreads like a virus and is highly contagious? This fantastic video by @bellingcat helps you navigate the disinfo ecosystem around #COVID19: https://www.bellingcat.com/news/2020/03/25/the-coronavirus-disinformation-system-how-it-works/
132,2020-03-29 14:46:56+00:00,"Germany 500,000 a week. So fits well with the herd immunity advice from self-proclaimed world coronavirus eugenics expert #DominicCummings. Why did you tell us on 24 January the NHS was well prepared to tackle coronavirus? You lied didn't you!"
133,2020-03-29 13:52:19+00:00,"Portugal temporarily regularises undocumented people with pending applications for residence as ""duty of solidarity in times of crisis"" to fight #coronavirus "
134,2020-03-29 13:50:36+00:00,Coronavirus dog toy. 
135,2020-03-29 13:41:44+00:00,"Watch this short animation to learn more about #COVID19, how it spreads and how to protect yourself against it. #coronavirus "
136,2020-03-29 13:35:41+00:00,"Interview with George Gao, head of China CDC. Not wearing masks to protect against coronavirus is a ‘big mistake,’ top Chinese scientist says "
137,2020-03-29 13:24:23+00:00,"Here you go! @SpeakerPelosi is fully in for another impeachment game She wants to know what @realDonaldTrump knew about coronavirus and when he knew it, in an ""after-action"" investigation Complaining that ppl died after the president signed? She was the one holding up the bill. "
138,2020-03-29 12:59:02+00:00,We wish Kyle all the best for a speedy recovery.
139,2020-03-29 12:13:09+00:00,I WANNA SEE YOURS!!! Something other than the coronavirus!! This should be fun! Post a picture of you as a kid and a current picture. Let's see how much we've changed. 
140,2020-03-29 12:04:00+00:00,THANK YOU to all health workers and volunteers ❤️ #coronavirus 
141,2020-03-29 12:01:14+00:00,"Even before #coronavirus outbreak, #Iran stood way below international standards w/ a severe shortage of physicians, nurses, &amp; medical staff. So, as outbreak is sweeping across the country, Iran’s doctors /nurses and other medical staff are going through extraordinary pressure."
142,2020-03-29 11:55:42+00:00,We may again have a very severe peak. This is serious. All beds have been full since the day I came here; I mean there have never been any vacancies.” #Covid_19 #Iran
143,2020-03-29 11:21:09+00:00,"That‘s the chief of staff of the current operation of the swiss army to fight the corona virus. His troop badge says „unus pro omnibus, omnes pro uno“. It’s latin and means „one for all, all for one“ or #WWG1WGA"
144,2020-03-29 11:00:11+00:00,Life is carrying on as normal in Sweden - scientists explain the controversial approach https://bit.ly/2wKcwy5 #coronavirus 
145,2020-03-29 10:37:29+00:00,"Mind the last mile: Agustín Carstens calls for urgent action to bridge the last mile and get central bank liquidity, via banks, to the businesses that need it most #smallbusiness #SMEs #BankLending #taxes #tradefinance #Covid19 #coronavirus @FT @FTOpinion"
146,2020-03-29 09:36:00+00:00,"INTERVIEW | ""The Green Deal remains a flagship policy of the von der Leyen Commission and the EU should aim for a post-COVID-19 recovery that is green and sustainable"", says Commissioner Janusz Wojciechowski."
