,Text
107,"Markus #Lanz baut #jensSpahn jede Brücke, damit er seine Fehleinschätzungen zum #Coronavirus und die Relativierungen im Januar korrigieren kann. Er tut es aber nicht. #Coronavirusgermany #CoronaPandemie #COVID19 #COVIDー19"
108,I wanna find the best hashtag to use to talk about my #delicious #coronavirus #COVID19 #dinner that is a tasty mix of meat &amp; vegetables and #cheese but most definitely not #insta ready because it looks like wet #dog #food
109,#funk Angstmacher Coronavirus: Historische Seuchen und Krankheiten 541.852 Aufrufe•31.01.2020 
110,"Detenciones y persecución: @NicolasMaduro ataca a la prensa, amparado en el coronavirus "
111,"Junge, was stimmt denn nicht mir dir?! #covid19 #coronavirus "
112,😷Wie viele #coronavirus-Fälle haben die deutschen Bundesländer jeweils bezogen auf hunderttausend Einwohner? Und korrelieren die Fallzahlen mit der Bevölkerungsdichte? 
113,1xBet Enjoy the Best TVBET Games& Promotions to Win Big at 1xBet 📲https://buff.ly/33JHbGR #COVID_19uk #CoronavirusESP #coronavirus #coronarvirusitalia #Covid_19fr #CoronaOutbreak #coronaUK #COVID19NIGERIA 📲 https://buff.ly/33JHbGR 💯% deposit bonus
114,"Karine Lacombe a critiqué Raoult. Il se trouve qu'elle a des intérêts avec les labos Gilead qui fabrique le remdesivir (qui est testé contre le coronavirus). Attention, je ne critique pas le remdesivir, mais on peut soupçonner Mme Lacombe d'avoir un conflit d'intérêt..."
115,The coronavirus pandemic may mark a decline in U.S. leadership 
116,"Coronavirus: Die Jenaer Neuigkeiten für Mittwoch, den 25. März 2020 https://jenarchiv.wordpress.com/2020/03/25/coronavirus-die-jenaer-neuigkeiten-fuer-mittwoch-den-25-maerz-2020/"
117,#coronavirus deutschland #coronadeutschland #CoronaVirusDE #COVID19germany #COVID19de
118,Il faut un Romain qui s’appelle Coronavirus dans le prochain !
119,"Hantavirus... Coronavirus... les gars on sortira pas avant fin août si ça continue, force a nous"
120,So how the f&@! will I actually be able to pay my rent and bills this coming month when I simply cannot get another job as waiting isn’t an option anymore but I have my mum and sister who are at risk catching #COVID19 and I don’t wanna get it myself either.... #coronavirus
121,Strenger Bußgeld Katalog in NRW #COVID19 #COVIDー19 #CoronaPandemie #coronavirus 
122,Airway-Management bei der Versorgung von Covid-19-Patienten Empfehlungen aus Italien von der SIAARTI Hier der Link zum Download der Empfehlung und des Videos vom Webinar https://www.inpass.de/webinare/webinare-themen/webinare-termine-und-links/ #COVID19 #coronavirus
123,"Länder, Infektionen, Todesfälle: Die Verbreitung des Coronavirus | http://tagesschau.de"
124,The world after coronavirus 
125,Il y a le #Coronavirus mais n'oublions pas le #CoranVirus
126,Coronavirus: Why is Italy heavily affected by COVID-19? #science #corona #coronavirus #coronaoutbreak #panademic #virus #virology #spain #italy #china #iran #france #covid19 #covid_19
127,RT.@USAdarFarsi-#Iran #coronaVirus حالا @khamenei_ir حتی اجنه را نیز سرزنش می‌کند! آیا او هرگز مسئولیت ۴۱ سال ناکامی رژیم را خواهد پذیرفت؟ #ایران
128,"„The #coronavirus pandemic has brought urgency to the defining political question of our age: how to distribute risk. As with the climate crisis, neoliberal capitalism is proving particularly ill-suited to this.“ #COVID19"
129,I said for my New Years resolution I would start a blog now with this coronavirus shit it might be a good time.
130,Tägliche Updates zu den Aktuellen-Fallzahlen in Deutschland + Vergleich zum Vortag. Minuten Clips | #Covid_19 #coronavirus #COVID19de #Ausgangssperre #bleibzuhause #StayAtHome #ShutDownGermany #wirbleibenzuhause #Kontaktverbot #CoronaPandemie &gt;&gt;&gt; http://bit.ly/KurzNewsHD 🔂
131,"O pior que o @jairbolsonaro fez ate agora n foi atrapalhar politicas contra o #coronavirus. No fundo o governo esta agindo bem (n gracas a ele, claro) Foi desenterrar um grupo q estava enfraquecido e se tornar um falso exemplo de reação a eles"
132,"#Güterverkehr ""Vor dem Hintergrund der Verbreitung des Coronavirus hat die Bundesregierung entschieden, Ausnahmen von den täglichen Lenkzeiten und der wöchentlichen Ruhezeit zuzulassen."" "
133,https://www.l-iz.de/politik/nachrichten/2020/03/Lebenshaltung-Miete-Vertraege-Mit-diesen-Corona-Massnahmen-hilft-die-Politik-jetzt-Buergern-und-Unternehmen-323325 Übersicht über die konkreten Hilfen für Bürger und Unternehmen in #Sachsen. #Coronakrise #coronavirus #bleibdaheim
134,"#live #stream #livestream #soloparty #unitedwestream #berlin🇩🇪 #germany🇩🇪 #save #clubculture #saveclubculture #nightlife #corona #virus #quarantine #lockdown @Berlin, Germany https://www.instagram.com/p/B-IngwtnTzP/?igshid=nkqlxgwpddqh"
135,"I Mis Republic Czech Republic. . . . . #coronavirus #czechrepublic #republicacheca #travel #trending #instagram #influencer #model #travelphotography @Prague, Czechia https://www.instagram.com/p/B-IngsPp8OI/?igshid=izk2cti39nz0"
