,Text
78,What countries have been affected by the novel coronavirus known as COVID-19? How many cases are there in China? https://infographics.channelnewsasia.com/covid-19/map.html via @ChannelNewsAsia
79,لعنت به همتون لعنت به نسل بشر با وجود اینکه میبینه داریم همه نابود میشیم باز دست از این مسخره بازیا بر نمیداره لعنتیا دنیا چقدر ارزش داره... خاک بر سر نفهمتون. یه عمر میتونستید با دوستی کنار هم تو صلح و آرامش زندگی کنید ولی هنوز هم تو نفهمتون موندین متأسفم #coronavirus #
80,watch video👍 کدام ویروس خطرناک تر است؟ 🛑Which virus is more dangerous? The #Coronavirus or the terrorist Islamic Republic of Iran?A political-economic &amp;cultural virus! @restartleader @JZarif @realDonaldTrump @FBI @netanyahu @SecPompeo #CoronaVirusUpdate
81,chorando escutando blink vtnc coronavirus
82,روزنميدونم چندم قرنطينه #درخانه_بمانیم #COVID19 #coronavirus 
83,"D raporteka tv yeka emriki da hat , 7eta heyva 5 rêja toshboyêt corona yê l iran 🇮🇷 ê gehna 3,5 Million kesa To bêji wesa bit? 🤔 #corona #coronavirus #covid19 #iran"
84,RELIVE: Pass the message to kick out Coronavirus 
85,"Chifuwa and sore throat Boo...and the more I saw these corona virus signs,the more I get/got anxious...I'm better now,koma ndikumaonabe ngati I'm still sick,u know me lol"
86,"Facebook says coronavirus is pushing usage through the roof, but its business is hurting https://www.ranzware.com/2020/03/25/facebook-says-coronavirus-is-pushing-usage-through-the-roof-but-its-business-is-hurting #Tech #Technews #Ranzware"
87,HBO Now streaming jumps 40% since coronavirus measures gripped US – CNET https://www.ranzware.com/2020/03/25/hbo-now-streaming-jumps-40-since-coronavirus-measures-gripped-us-cnet #Tech #Technews #Ranzware
88,همه مسئولیم #سیناهاستل #در_خانه_بمانیم #خانه_بمانید #کرونا #کوید۱۹ #نوروز_بدون_سفر #stayhome #coronavirus – at SINA HOSTEL
89,"Hey corona virus, find Niac members and tell them hi #CovidSanctionsLie"
90,I hope coronavirus kills the NCAA 
91,"Coronavirus, we are all learning together. No one should claim expertise."
92,"Kkkkkkkkkkkk eu to preparada pra gritar com os macho "" me larga, corona virus "" e vc?"
93,ظاهرا من هم کرونایی شدم نه حس بویایی دارم و نه حس چشایی این هم از تازه ترین اثرات ویروس کووید ۱۹ #کروناویروس #coronavirus #کرونا_را_جدی_بگیریم
94,Coronavirus started as rumor and and then you know what happened
95,Sounds right
96,#coronavirus #تحریم #فیلتر
97,'This Is a Massive Scandal': Trump FDA Grants Drug Company Exclusive Claim on Promising Coronavirus Drug - https://go.shr.lc/3blOoAs via @commondreams Grifters gonna grift
98,Er coronavirus
99,'This Is a Massive Scandal': Trump FDA Grants Drug Company Exclusive Claim on Promising Coronavirus Drug - https://go.shr.lc/3blOoAs via @commondreams
100,while (coronaVirus.isAlive()) { stayAtHome(); } 
101,Disney Plus: Everything to know about Disney streaming and coronavirus – CNET https://www.ranzware.com/2020/03/25/disney-plus-everything-to-know-about-disney-streaming-and-coronavirus-cnet #Tech #Technews #Ranzware
102,#coronavirus #در_خانه_میمانیم
103,#coronavirus 
