,Text
68,Lo que sabemos y lo que no del #coronavirus SARS-CoV-2 https://msphere.asm.org/content/5/2/e00203-20 de @MattFrieman y @StuartMWeston
69,El coronavirus cuando me estaba comprando el vuelo a Italia @ppadial99
70,"""The 48-year-old Lachlan Murdoch stood by as Fox News hosts played down the danger of the deadly coronavirus to their viewers"" "
71,Y que todavía haya malnacidos que defiendan a estos inútiles Hacienda auxilia a las comunidades autónomas ante el caos logístico de Sanidad por el coronavirus 
72,Coronavirus Covid-19 
73,Muere la primera mujer a la que detectaron el #coronavirus en #Lleida
74,Coronavirus - percepciones árabes https://adrianmacliman.blogspot.com/2020/03/coronavirus-el-soldado-de-ala.html
75,Bueno chicos me las piro a dormir. #BuenasNoches. Aqui os dejo un nuevo dúo en #TikTok junto a mi preciosisima cosplayer @illisiacosplay. #coronavirus #QuedateEnCasa
76,Financial Times pone a @IdiazAyuso como ejemplo de determinación en la lucha contra el coronavirus...a pesar de los frenos y las campañas en contra. Madrid’s coronavirus fighter says controls will have impact within days https://www.ft.com/content/5f4f79ac-6ddb-11ea-9bca-bf503995cd6f vía @financialtimes
77,🔴🔴Defensa pide apoyo a la OTAN para hacer frente al coronavirus https://www.abc.es/espana/abci-defensa-pide-apoyo-otan-para-hacer-frente-coronavirus-202003241954_noticia.html#vca=amp-rrss-inducido&amp;vmc=abc-es&amp;vso=tw&amp;vli=noticia.video vía @ABCespana
78,"Me preocupa que la administración sea exquisita con la autorización de los ERTEs... Que luego dentro de meses, le dé por revisarlos y los cuestione por meras formalidades... El coronavirus has desbordado a todos. Los abogados no somos una excepción 1/2"
79,El coronavirus deja en la UCI al populismo identitario. 
80,"Y que hoy he tenido un día rematado, mi compañera ha fallado porque su padre ha tenido un accidente (nada de coronavirus) y toda la producción de la máquina ha recaído en mi. No sabía que podía correr así, al menos se que no me ahogo al esfuerzo. 😅😂"
81,Muere una doctora con síntomas de coronavirus que se autoconfinó 
82,Coronavirus al reves es surivanoroc que no significa nada igual que yo para ti 🤟😔
83,Reporteros Sin Fronteras rastrea cómo la censura china contribuyó a expandir el coronavirus https://elpais.com/elpais/2020/03/24/hechos/1585063368_490254.html?ssm=TW_CC vía @el_pais
84,"May be we Spaniards r like Italians, 3 generations sharing space, we hug more, we r social.. but what happened with Greece? -Family Is Italy’s Great Strength. Coronavirus Made It Deadly. "
85,"Joder a los del PNV se les está yendo la pinza también. Tienen a dos trabajadores enterrados en un vertedero, más el coronavirus. Y el pelao este habla de la Copa. "
86,Nike gana un 10% más pese al coronavirus gracias a las ventas por internet http://dlvr.it/RSVX8F
87,dilo la verdad opino que solo he hecho punto trans punto!
88,"No la tendrías Tu, yo no fui a la manifestación por miedo al coronavirus. Porque no veía las cosas claras. Hubieron 11 mascletà en Valencia sin suspender. Tampoco fui y lo tenía fácil. Era sólo bajar .No lo vio quien no quiso"
89,La primera muerte en las cárceles reaviva el temor por el coronavirus en prisión Por @Danialri
90,Coronavirus - el soldado de Alá https://adrianmacliman.blogspot.com/2020/03/coronavirus-el-soldado-de-ala.html
91,Lo que oí en el Telediario me ha dejado 😲. El personal de algunas residencias de ancianos sigue yendo a trabajar con síntomas de coronavirus. ¿Qué mayor irresponsabilidad? Seguirán infectando a más ancianos!!!! No entiendo nada...😬
92,Información amplia sobre el nuevo coronavirus (COVID-19): fuentes de solvencia científica y con capacidad de decisión política. https://farmaciacarmentorres.blogspot.com/2020/02/coronavirus-de-wuhan-coronavirus-covid.html #CoronavirusMadrid
93,"La cifra total de contagiados asciende a más de 40.000 y, de muertos, a 2.800. España es el país con más sanitarios con coronavirus "
94,Llega el coronavirus y cierran los gimnasios :v
95,Yo antes de que aparezca todo esto del coronavirus 
96,No sabía que el coronavirus dañaba el cerebro
97,#ForaBolsonaro PRA ONTEM
98,"La mejor cura contra el coronavirus, grande! 👏👏👏👏"
99,"1.281 liberados sindicales y políticos sanitarios, llamados a filas por el coronavirus en Andalucía http://dlvr.it/RSVWwx"
100,"Si esto sale bien, mi suegro de 97 años podrá decir: “Superé la Guerra Civil y el jodido coronavirus”. ¡Sí se puede!"
101,"Fallece un tercer guardia civil, de 47 años, como consecuencia del coronavirus http://dlvr.it/RSVWww"
102,Francia realiza primeras pruebas clínicas de una vacuna contra el nuevo coronavirus - Resumen Latinoamericano - https://www.boltxe.eus/2020/03/25/francia-realiza-primeras-pruebas-clinicas-de-una-vacuna-contra-el-nuevo-coronavirus/
103,"Este va a ser un pedazo de año, me voy a inflar a viajar y a ir a festivales. El coronavirus: "
104,El coronavirus nos ha dejado enseñanzas como: 1. La desigualdad es el tema prioritario en Colombia. Debe eliminarse a la par que se haga justicia con las élites corruptas que alimentan esa desigualdad. 2. Bogotá tiene que convertirse en una ciudad autónoma.
105,El Financial Times pone a Ayuso de ejemplo en la lucha contra el coronavirus 
106,dilo lo único importante es nuestra relación da igual lo demás no se q💋💋💋
