,Text
86,European Space Agency shutters Mars spacecraft science due to coronavirus https://www.cnet.com/news/european-space-agency-shutters-mars-spacecraft-science-due-to-coronavirus/ #coronavirus #marsupdate #spacenews #COVID19 @esa
87,Parlarsi oggi è un bene vitale #swisscom #coronavirus 
88,Switzerland Introduces Border Control Starting Wednesday Amid Coronavirus Pandemic UrduPoint News 
89,I bambini scomparsi per decreto. La sofferenza dei più piccoli nei giorni del coronavirus - Giap 
90,"Für alle #Trump Fanboys, gibt's demnächst auch für #Johnson Fanboys #coronavirus #wtf"
91,"Coronavirus, il condominio contro la dottoressa: «Fai attenzione quando rientri a casa». La rabbia dell'ospedale https://www.leggo.it/italia/cronache/coronavirus_pisa_condominio_contro_dottoressa-5130141.html @leggoit"
92,Que en venezuela no están haciendo tantas pruebas para detectarlo y si alguien muere no saben si es por coronavirus u otra cosa
93,'A mess in America': Why Asia now looks safer than the US in the coronavirus crisis 
94,"#Coronavirus In conferenza stampa a #Roma il premier #Conte ha ricordato il 31 luglio come termine fissato (allo stato attuale) per l'applicazione delle misure restrittive, che forse potrebbero rientrare anche prima. Ora una previsione dalla #Svizzera sull'andamento dell'epidemia"
95,"Square lowers Q1 revenue outlook, citing drop in seller GPV due to coronavirus spread "
96,"Very strict measures to limit movement of citizens / trade, closing of cultural / recreational establishments / schools / universities + a cool app that tracks contact with confirmed coronavirus patients?"
97,NASA Suspends Work on The New Moon Mission Rocket Due to Coronavirus Outbreak https://www.sciencealert.com/nasa-suspends-work-on-new-rocket-for-moon-mission #nasa #spacenews #moonmission #coronavirus #COVID19
98,“Forza Italia! Siamo tutti uguali” https://www.varesenews.it/2020/03/forza-italia-tutti-uguali/913884/ #coronavirus
99,Switzerland Introduces Border Control Starting Wednesday Amid Coronavirus Pandemic - UrduPoint News http://dlvr.it/RSVGlx
100,This is a huge issue for country people! I know rural families who can't get their normal basic supplies in their rare trips to town! #auspol #ausag #coronavirus 'We're not panic buying': Why remote families are angry with grocery limits 
101,"United States Coronavirus: 52,983 Cases and 685 Deaths - Worldometer https://www.worldometers.info/coronavirus/country/us/"
102,Das #Coronavirus erschwert den Verkauf des #NL-Vereins. @lausannehc #LausanneHC #LHC #NationalLeague @NLSLOfficial #NLSLOfficial
103,"#Coronavirus-Update #19: ""Masken können andere schützen"" | NDR Podcast - YouTube "
104,Twitter is donating $1M across two foundations to support journalism during the coronavirus pandemic http://dlvr.it/RSVGQm
105,He never said by the end of this week. He said that we could see improvements in terms of a flattening of the curve throughout this week. When he says 'in summer = things back to normal' he means that by summer all is fine.
106,Informati prima di twittare falsità.Gli scioperi sono per avere sicurezza sul posto di lavoro...tipo le mascherine e i dpi necessari per l’emergenza coronavirus.Non vogliono soldi vogliono sicurezza
107,Wegen Coronavirus: Opernproduktion „Don Carlos“ auf Sommer 2021 verschoben! Weitere Informationen: http://sommeroper.ch
108,Ernst Wolff: #Corona und der herbeigeführte Crash. #Coronavirus https://youtu.be/aYZ2gVs9U7o via @YouTube
109,Anon! My Beyond Meat™ stock have collapsed. I'm broke! I really need a place to stay. This Coronavirus thing is getting scary. Please let me in. 
110,Tonight on ⁦@srfesc⁩ head of ⁦@BAG_OFSP_UFSP⁩ Daniel Koch made a prediction: ‘We believe by early summer things should be back to normal again’ but adds that in the end the outspread of the virus has the ‘final saying’. #CoronaInfoCH
111,.@WeWork: Close During the Coronavirus Pandemic! Join the campaign: https://www.coworker.org/petitions/wework-close-during-the-coronavirus-pandemic?bucket=&amp;source=twitter-share-button&amp;utm_campaign=Twitter&amp;utm_source=twitter&amp;share=e200c1c8-db77-41e4-b8f0-da5782234c79 via @teamcoworker
112,"Greta Thunberg warns she likely has coronavirus, asks young people to take it seriously "
113,Coronavirus: Angst vor häuslicher Gewalt gegen Kinder in Familien - Neue Zürcher Zeitung 
114,La course aux traitements et vaccins contre le coronavirus s'intensifie 
115,Soap star says he has coronavirus 
116,Fox News anchors fail to challenge Trump as he misleads during coronavirus town hall 
117,Milo Manara e l’omaggio ai medici che combattono il #Coronavirus.. #arteinquarantena #arte #DBArt #art
118,Reisen ist immer ein Erlebnis und bildet. Nur leider geht es geht momentan nicht. 😕 Darum hier zum Geniessen meine besten Bilder aus #Vietnam 🇻🇳. 📷 Bilder mit #fujifilm #XT2 #coronavirus #unterhaltung https://flic.kr/s/aHsmMawr45
119,SOUTH KOREA: how to FIGHT against CORONAVIRUS without CRIPPLING the COUNTRY - by @SimonWhistler
120,«Wir sind fassungslos»: Die Bike Days fallen dem Coronavirus zum Opfer https://www.solothurnerzeitung.ch/solothurn/stadt-solothurn/wir-sind-fassungslos-die-bike-days-fallen-dem-coronavirus-zum-opfer-137344654
121,"Google Bans Coronavirus Infection Trackers... But Not Before They Get 400,000 Downloads "
122,"Nei periodi di #coronavirus in cui va rispettato il Social Distancing, si devono osservare alcune regole anche nel disbrigo delle operazioni bancarie; per la vostra protezione e quella dei nostri collaboratori. https://blog.migrosbank.ch/it/coronavirus-transazioni-bancarie-sicure-e-rapide/ via @migrosbank"
123,"SEC warns on coronavirus insider trading after stock sales by NYSE chair, his wife Sen. Loeffler, 3 other senators #Trading"
124,Emergenza #coronavirus. Tasse regionali sospese fino al 31 maggio: «Nessuna sanzione per bollo auto e Irap» 
125,"En période de #coronavirus et social distancing, il convient de respecter certaines règles lors de l’exécution d’opérations bancaires également – pour votre protection et celle de nos collaborateurs. https://blog.migrosbank.ch/fr/coronavirus-transactions-bancaires-sures-et-rapides/ via @migrosbank"
126,"In Zeiten von #Coronavirus und Social Distancing gilt es, auch bei der Erledigung von Bankgeschäften einige Regeln zu beachten. Zu Ihrem Schutz und zum Schutz unserer Mitarbeitenden. https://blog.migrosbank.ch/de/coronavirus-bankgeschaefte-sicher-und-schnell-erledigen/ via @migrosbank"
127,"Da leggere su Coronavirus in Russia, dalla brava @carolinadeste"
128,"For those not au fait with the hrvatski jezik, it appears there’s a rumour in the Balkans that hand dryers and/or hair dryers can provide protection against coronavirus "
129,Hantavirus movie #hantavirus #COVIDー19 #coronavirus #covid #news #virus #VirusCorona
130,On verra bien si leur Corona virus peut esquiver les balles
131,"The #Coronavirus has achieved something historic: it has suspended democracy in Australia. Yes, democracy in Australia has been suspended for six month. "
132,"Sta tornando il Ticino del 2008, quello che era sceso in piazza a fianco degli operai delle Officine FFS in sciopero. Unito. Solidale. Purtroppo ci vogliono sempre delle pessime notizie per darci la mossa. Per farci capire che assieme siamo forti #coronavirus #Covid_19 #Ticino"
133,- Debido al coronavirus han cancelado Tomorrowland. - Pues deberían haberlo cancelado yesterday!
134,6 milioni di mascherine sparite nel nulla #mascherine #coronavirus 
135,5 000 détenus libérés pour cause de coronavirus : “L'extrême gauche judiciaire a encore frappé !” https://shar.es/aHs7QB via @Valeurs
136,Coronavirus hinter Gittern: Erste Infektion in Frauengefängnis 
137,Nos ocultan que Carmen Calvo es positivo en coronavirus por una mera cuestión de Estado... Sabemos algo de Irene Montero? Nada. Y de la ministra Carolina Darias?? (más conocida por contraer el virus que por su gestión). Tampoco. El gobierno de la Transparencia pero dosificada...
138,Interessant. Wünschen wir ihnen viel Glück. #covid19 #corona Coronavirus: Die Welt steht still. Nur Schweden nicht | ZEIT ONLINE 
139,"Swiss coronavirus cases rise to nearly 9000, with 90 deaths - The Straits Times "
140,Spero per il personale sanitario gli ospedali non comprino le mascherine dove le compra #Bertolaso. Come diavolo ha fatto a beccarsi il #coronavirus ?
141,"I had previously read the @WHO #coronavirus field report, but never quite focused on what had happened on the very initial stages in Hubei when, on Jan. 22rd, the lockdown was decided, after their case count had reached 444 and death count was just 32."
142,#Venezuela Coronavirus-related inspections delay Venezuelan oil exports -document #oott
143,"@Tamedia @TamediaTX Kurzarbeit trotz 130 Millionen Gewinn, 2.1 Milliarden Vermögen, rekordhohen Klicks dank #coronavirus , hohem Arbeitspensum der Angestellten und gefüllten Kassen der Besitzerfamilie? Really? @adfichter"
144,Krieg gegen die Bürger: Coronavirus ein Riesenfake? Eva Herman im Gesprä... https://youtu.be/Dk8wqJbNhq0 via @YouTube
145,United States could become #coronavirus epicenter: @WHO
146,Mt. Athos to hold vigils and processions against coronavirus / http://OrthoChristian.Com https://orthochristian.com/129575.html
147,"Liebe Patti, die Milliarden sind für die Wirtschaft, und dafür hatten wir immer schon Geld. #CoronaPandemie #coronavirus #COVID19"
148,Shutdown of North Sea pipeline system delayed by coronavirus #oott
149,Orthodox Church in Slovakia will be sanctioned if it continues to hold services amidst coronavirus fears—Prime Minister / http://OrthoChristian.Com https://orthochristian.com/129261.html
150,"#DYK #tuberculosis kills 4,000 people every day? This #WorldTBDay, @paimadhu reminds us that we need to come up with a damage control plan for #COVID19 #coronavirus &amp; #TB. #WorldTuberculosisDay http://www.forbes.com/sites/madhukarpai/2020/03/17/covid-19-and-tuberculosis-we-need-a-damage-control-plan/ via @forbes"
151,"To make these tweets available to everyone that has no access to Twitter, I teamed up with two friends to develop this site: https://www.coronaenglish.ch/ Feel free to share! #CoronaInfoCH #CoronaVirusSwitzerland"
152,«Nous n’avons pas assez de recul sur notre immunité concernant le coronavirus». Le rdv quotidien d’Eric Bonvin http://dlvr.it/RSV9Y3
153,Oraları ancak Coronavirus temizler
154,"Coronavirus e siti di shopping falsi Nelle ultime settimane si è registrato un aumento degli ordini su internet del 50%, una situazione che secondo gli esperti potrebbe favorire i truffatori http://www.rsi.ch/g/12877817"
155,"Everyone stop saying Dr. Mario, he started the coronavirus with his malpractice. He gave patient 0 random blue and red pills, which evolved the sickness the guy already had. He's the problem, not the solution."
156,"@srfsport berichtet über die Trainingsverhältnisse während #coronavirus in Magglingen. Hier coache ich Simon Schenk @SwissAthletics mit 3m Abstand. Coachen, anleiten, begleiten. So sehen aktuell Trainings aus. Just do it but respect the rules!"
157,The fastest sources are @Blickch and @20min – sometimes @tagesanzeiger is also quite quick. They all have huge newsrooms with lots of journalists exclusively working on this topic.
158,I'm not qualified to respond properly to your question. I saw that lots of airlines are quite easy going in terms of those refunds. About hotels I don't know.
159,The US Army Corps of Engineers Deploys Against Coronavirus 
160,This I can't answer.
161,"This evening @Brittjje said it as clear as only she can; our eldery were sent to war, we only have to bingewatch netfilx with popcorn, how difficult can that be? Stick to the rules! #coronavirus #COVID19 #dwdd"
162,"As part of our coronavirus initiative, @InSphero will offer free safety testing in 3D InSight™ Human Liver Models for exploratory #COVID19 treatments #coronavirus #SARSCoV2 #drugsafety #3Dcellcuture https://insphero.com/media-release/insphero-offers-free-safety-testing-in-3d-insight-human-liver-models-for-exploratory-covid-19-treatments/"
163,They said 'to help parents that are not able to take care of the kids'. Also they suspect children to not be carriers of the Virus like older people.
164,#CoronaInfoCH #coronavirus #FlyingHome #Kenia
165,Covid-19: anche il Cardiocentro è in rete nella lotta contro il coronavirus. https://www.rsi.ch/play/tv/redirect/detail/12877208 di @RSIonline
166,Ma il vaccino al coronavirus non si potrebbe ricavare dal sangue dell'inarrestabile Miccio? #pechinoexpress
167,The #coronavirus seems to be evolving as the demographics of its victims is changing. First death of a minor &amp; In LA County 80% of cases involve patients between ages of 18 to 65; 42% are in the 18 to 40 range 
168,Non-seulement ce triste Sir ne servait qu’à son sinistre comptage funèbre quotidien mais en plus il le faisait mal. #OnOublieraPas #COVID19 #coronavirus #confinement
169,Grippe 1918 – Coronavirus 2020 
170,"Yep. — ‘Confused, dangerous, flippant': rest of world pans PM's handling of coronavirus "
171,Nachbarschaft funktioniert nicht während der Pandemie #coronavirus 
172,Better advice here than @UKGovTweets #coronavirus 
173,'Why don’t we spray the streets?': Swiss health officials answer common coronavirus questions - The Local Switzerland 
174,"G-20 Presidential (video) meeting on Thursday. Putin will participate, Presidency of the meeting is in Saudi hand. it's about the coronavirus of course, but also about financial stability. "
175,“Non andrai via sola”: Samarate saluta la concittadina morta di Coronavirus 
176,2020 Tokyo Olympics postponed to 2021 due to coronavirus. The right decision! The health of the athletes is the most important thing. I hope the same from each international sports federation. It’s unreal to think of… https://www.instagram.com/p/B-IUGvrjRUa/?igshid=c5pvopu3sic3
177,Coronavirus: les acteurs valaisans de la santé unissent leurs forces pour faire face à l’afflux de patients http://dlvr.it/RSV6t3
178,"With the coronavirus crisis, I'm really not looking forward to warm weather "
179,Coronavirus: il PS chiede misure urgenti in materia di politica sanitaria 
180,"#Coronavirus in Zürich: Der Kantonsrat lässt sich nicht lahmlegen. Schliesslich bestehe ein eminentes öffentliche Interesse daran, kantonale #Notmassnahmen demokratisch abzustützen."
181,"Coronavirus,anziani in Smart Working: in arrivo i cantieri online - "
182,Jajaja verdad! Es el murcielago del corona virus. CHINOVID-19
183,«Wir haben es hier mit einer Art Krise der #Demokratie zu tun» #COVIDー19 #CoronaPandemie #coronavirus 
184,Diverse Künstler haben sich der blühenden Jahreszeit gewidmet - wie wirken die Werke nun in Zeiten des Coronavirus? (Abo+) 
185,Coronavirus’ Impacts On Real Estate: Why You Need To Think Short-Term And Longer-Term 
186,Beim @FCSG_1879 heisst das neue Motto #zämähebä. #Fussball #SuperLeague #SFL #FCSG #FCSTGallen #Espen #COVID19 #Coronavirus #Virus
187,Communiqué de la SSMI sur la maladie à coronavirus 2019 (COVID-19) @SGAIM_SSMIG @HausaerzteCH https://www.sgi-ssmi.ch/fr/covi19.html?file=files/Dateiverwaltung/COVID_19/IMSGCM_Stellungnahme_COVID-19_03_FR_200324.pdf
188,Umweltaktivistin Greta Thunberg wohl mit Coronavirus infiziert #Corona #Corona_Virus #Greta_Thunberg
189,Der Fussball-Welt droht das absolute Vertragschaos. #Fussball #FIFA #COVID19 #Coronavirus #Virus
190,"Receive up to 200 free whole genomes to help understand how different genes determine our reaction to #Coronavirus: who gets sick, who doesn’t, how the human body reacts to the virus and why. @DanteLabs provides 30x coverage, raw genome data for 650€ #coronavirus #Coronavid19"
191,Coronavirus: Texas says abortions 'non-essential' amid pandemic http://dlvr.it/RSV4xm
192,"Nuovo caso di Coronavirus a Lonate Pozzolo, salgono a quattro i contagi https://www.varesenews.it/2020/03/caso-coronavirus-lonate-pozzolo-salgono-quattro-contagi/913871/ #coronavirus #covid19"
193,"person with flu will on average pass it to 1.3 people. In 10 cycles there will be 14 cases of the flu. Coronavirus is passed onto three people on average. ten cycles, there will be 59,000 infections. Exponential growth is a thing."
