,Text
116,Brexit benefits MUST be 'grasped' to heal UK after disaster of coronavirus says Labour MP - http://www.brexitnews.tv/2020/03/brexit-benefits-must-be-grasped-to-heal.html
117,"Egypt enforces a full lockdown due to #coronavirus where all movement, including transport, will be halted from 7pm to 6am. Those who faily to comply can expect hefty legal consequences "
118,"@piersmorgan My sister is currently working in the NHS, aintree. She’s on ward 23 which is the main ward for the corona virus. Which means she deeply exposed. My mum is a cancer survivor and she is high risk to catch this. Is there any hotels in the Liverpool region that can help"
119,#Coronavirus: Israeli police abandoned a Palestinian patient suspected of suffering from the COVID-19 illness at a West Bank checkpoint 
120,Coronavirus US: Trump slams Cuomo for not buying ventilators http://dlvr.it/RSVY66
121,#CharityTuesday The @VETERANSCHARITY assisted by one of our team have come up with a free #Lockdown Messaging system You can download here; http://veteranscharity.org.uk/covid19-support #CommunityTogether #coronavirus #COVID19
122,A nurse at one of Scotland’s leading cancer centres has been diagnosed with coronavirus as Wednesday's Daily Record leads on the story amid fears the NHS hero may have caught the disease due to a lack of protective kit. #scotpapers #TomorrowsPapersToday @hendopolis
123,"Covid19 has not been around for ages that's why the world is struggling. It's a new strain of Coronavirus a ""novel"" strain given a temporary name 2019 nCoV by scientists meaning novel corona virus &amp; the year, then Covid19 meaning corona disease 2019. There is no conspiracy! 1/4"
124,Coronavirus ain’t touching this don 
125,Brit 'nurse dies after taking overdose' at hospital fighting coronavirus https://www.dailystar.co.uk/news/latest-news/coronavirus-brit-nurse-dies-hospital-21749243
126,"I know there's more important things to talk about, but twiglets taste weird when you've got coronavirus."
127,BBC News - Coronavirus: Only go to your job if you cannot work from home - Hancock https://www.bbc.co.uk/news/uk-52022417 what ??? No passengers ??? 😩🧐
128,#Coronavirus (COVID-19): advice for UK visa applicants and temporary UK residents 
129,Sometimes life is so unfair...... #DrFauci #AnthonyFauci #COVID19 #Coronavirus #Pandemic
130,"This is certainly a serious variant of Coronavirus, but it seems true that numbers are being fudged among cases of other concurrent similar flu and common cold viruses alongside it, for nefarious reasons. How much freedom will they give up via fearmongering? That seems the test."
131,SHARE THIS WIDELY IT COULD SAVE LIVES @tiktok_uk @tiktok_us Check out Scottie McClue's video! #TikTok https://vm.tiktok.com/spMqjL/ #COVID19ireland #CoronavirusLockdown #21daysLockdown #COVID19 #coronavirus #CoronaCrisisuk #StayHome #CurfewInIndia #virus #tuesdayvibes #NHSThankYou
132,Shit @iamcardib has the corona virus with no symptoms. So we’ve all probably got it then
133,"At least three times a day I'm playing the 'Is this hayfever, my normal asthma, or Coronavirus' game and it's getting v. tiresome and my nerves are shot."
134,"As the coronavirus death toll rises, so does the government’s ineptitude - CounterBriefing 24 March - Counterfire "
135,Cy Tucker dead at 76: 1960s pop legend who played with The Beatles passes away 'from coronavirus' https://www.thesun.co.uk/tvandshowbiz/11245294/cy-tucker-dead-pop-legend-the-beatles-coronavirus?utm_source=twitter&amp;utm_medium=social&amp;utm_campaign=sharebarweb Simply Hearbreaking #VirusWatchUk @Skyline73446331
136,"Nurse, 36, is fighting for her life after testing positive for coronavirus https://viralhatch.com/nurse-36-is-fighting-for-her-life-after-testing-positive-for-coronavirus/ #Nurse via @MostTalkedAbou1"
137,Coronavirus has given me too much time to think. I hate it here
138,Coronavirus may have infected half of UK population — Oxford study 
139,Coronavirus: Estate agent Dexters tells staff to come into office despite government lockdown https://www.independent.co.uk/news/business/news/coronavirus-lockdown-dexters-estate-agent-government-london-a9422256.html
140,"American children are dying because of #coronavirus quarantine, US doctors warn https://www.independent.co.uk/news/world/americas/coronavirus-guns-child-safety-emergency-room-child-abuse-a9422561.html via @Independent"
141,"The shelves of all powerful Britain supermarkets are now empty and bare, all thanks to #GetBrexitDone..meanwhile across the pond in 'poor little Ireland' food is plentiful with more than enough to go around WELCOME TO #BREXIT #Brexiteer #BrexitBritain SUCKERS ! #BrexitReality"
142,"No shops have any delivery slots and we have been isolating for a week now, as we are on the high risk cattorgry so now what? #coronavirus"
143,"@nlcpeople The new mailbox set up to receive Coronavirus Business Support Fund grant applications isn't working and rejecting important emails from businesses. Can you get your IT people to sort it out, please?"
144,A WHOLE NEW WORLD...after Coronavirus wipes out the population
145,The latest World News! https://www.thelorereport.ie/paper-li/ Thanks to @Adriana00777 @11freedom1111 @wulooben #coronavirus #covid19
146,"I’m on two zero hours contracts. No coronavirus support for me, and no shifts! Hope the world heals soon 😓"
147,If you can help the NHS at this time of need and show everyone we can fight this coronavirus crisis together please sign up to - https://www.goodsamapp.org/home if not I pray you have good health through this awful time🤞🏻❤️ #isupportthenortheast #ivesignedup
148,Been musing about the parallels. Political and physical - Coronavirus is a slow motion nuclear explosion - both chain reactions.
149,Petition: Include self-employed in statutory sick pay during Coronavirus 
150,"PIERS MORGAN: Coronavirus doesn't give a damn about the economy, President Trump - if you ... https://mol.im/a/8146747 via @MailOnline"
151,"#Coronavirus travel update. Booked flight from Melbourne to Gold Coast 45 MINUTES ago. Since then, @TigerairAU has gone bust and cancelled all flights. We can get a credit towards @VirginAustralia, but all Queensland flights are now full 🤷‍♂️ #Australia"
152,YouTube videos created by doomsday preppers are going viral amid coronavirus 
153,"We hope that all @anthesis_group clients, partners, colleagues and friends are safe and well, and remain so through this difficult period #COVID19 #Coronavirus "
154,"Saudi Arabia took measures early to try and reduce the spread of Coronavirus in their country. In Iran, the ayatollahs encouraged worshippers to continue visiting Qom despite the outbreak. Pakistan is now under serious threat because of infected Shia pilgrims returning from Iran."
155,Thank you to all the over 70s refusing to 'give in' to the coronavirus 'scare'. The rest of us look forward to not having to pay your pension when you cop it. GET THE MESSAGE. STAY AT HOME. SAVE THAT VENTILATOR FOR SOMEONE WHO DESERVES IT.
