,Text
59,Est-ce qu’on profiterai pas de ce qu’il se passe pour arrêter de serrer les mains et faire la bise au taff ou ailleurs ? #Coronavirus
60,"TEMOIGNAGE : “On fait ses courses seule, madame ! - Je fais quoi de ma fille de 4 ans ?” - France 3 Grand Est https://france3-regions.francetvinfo.fr/grand-est/marne/reims/coronavirus-famille-monoparentale-interdite-acces-hypermarche-1805800.html #confinement #coronavirus"
61,"Pour comprendre les enjeux du traitement du Coronavirus par la Chloroquine, nous vous conseillons de lire l’entretien du professeur Raoult dans le Parisien du 22 mars 2020 "
62,"Coronavirus: en Île-de-France, le nombre de décès enregistrés à l'hôpital bondit de 41% en 24h "
63,Le corona virus qui est entrain d’avoir le monopole du monde et qu’il voit arriver le hantavirus 
64,NY Tries Two Coronavirus Patients per Ventilator: ‘We Have No Alternative because Cuomo refused to buy 16k CDC recommended ventilators in 2015' because he wanted to give money to his commie allies via pork projects 
65,"Will #coronavirus force a girl to do her own #bigchop, or nah?! #BlackWomeninMedicine"
66,Remember when Conservatives and #Teaparty was warning people about #DeathPanel and danger of #ObamaCare that would let old people die? #coronavirus #TrumpVirus #LetThemDie #CapitalismKills #COVID19 #WallStreet #DeathCult #MAGA #KAG #Trump #INCOMPOTUS
67,Quand l’heure des comptes sera venue... #coronavirus #COVID19 #Facebook
68,"La propagation du coronavirus, cette pandémie mondiale, en RDC s’élève à grande vitesse dans la ville de Kinshasa. Malgré les mesures de restrictions prises par le chef de l’État Félix Tshisekedi, trois autres cas ont été enregistré mardi 24 mars 2020. "
69,"Il a raison Les coronavirus ont été identifiés chez l'humain dans les années 1960 c un virus causant des maladies émergentes, en gros sa touche les problèmes respiratoires tout le monde l'appelle le coronavirus alors que c le nom des virus et pas le nom de se virus (Covid19)"
70,arrêtez d’attraper le coronavirus svp😔
71,La gestion du coronavirus par Donald Trump irrite Hillary Clinton 
72,Tout 🇮🇹 Moi selon les gens: coronavirus
73,“Economists call this a failure of the free market” #Covid_19fr #COVID19 #coronavirus 
74,"Never has it been more important for refugees, internally displaced people & survivors of disasters to be included in regular government health services & other development & crisis funding initiatives that are necessary to overcome #CoronaVirus financial impact "
75,Corona vírus nem encosto mais
76,"disse de novo que não tem porque fechar comércio e suspender aulas e que ele, COM O FÍSICO DE EX-ATLETA QUE ELE TEM, passaria pelo corona vírus tranquilamente, pois não é grupo de risco"
77,#foldingathome #againstcovid19 #coronavirus #distributedcomputing Support project Foldingathome (a distributed computing project for performing molecular dynamics simulations of protein dynamics) to accelerate research for a coronavirus treatment (or any other disease). Howto 👇 
78,"L'émir du neuf trois @jclagarde requinqué par sa victoire à Drancy (avec 15% des inscrits) traite @BorisJohnson de ""blaireau"". Il peut à raison remercier le coronavirus grâce auquel ""Le Maire et les barbares"", livre qui brosse son portrait répugnant, est passé à la trappe. "
79,"Coronavirus : huit questions sur l’hydroxychloroquine, possible traitement du Covid-19 – Le Monde https://www.ultimatepocket.com/coronavirus-huit-questions-sur-lhydroxychloroquine-possible-traitement-du-covid-19-le-monde/"
80,"#coronavirus #StayHome Here's an interesting idea from Switzerland. ... To help cover their costs, hotels have started renting out disinfected rooms for the day or week, at about a quarter of the normal price, for people to use as home offices. Of course without room service!"
81,"as someone who has a parent and loved ones with compromised immune systems, my anxiety has really been through the roof as we follow the spread of coronavirus. through. the. roof."
82,@EmmanuelMacron se rendra à l’hôpital de campagne de l’armée à Mulhouse « pour rendre hommage au personnel soignant » et « témoigner sa solidarité envers la région Grand Est qui est fortement éprouvée » par la crise du #coronavirus : 
83,Ces députés malades du coronavirus 
84,Fixed it for you: Joe Biden begins a media blitz as he break into the coronavirus conversation 
85,"Coronavirus : La France passe le cap des 1 000 morts à l'hôpital, prolongement ""indispensable"" du confinement "
86,"""value life."" Time's Up. #Coronavirus "
87,Coronavirus : Toutes les cloches des églises françaises sonneront ce mercredi à 19h30 
88,Coronavirus : voici la nouvelle attestation de sortie dans le cadre du confinement https://l.leparisien.fr/tDy-S #Rediff
89,ENFIN #Poitiers #coronavirus #COVID19
90,"TEST FRANÇAIS VENDUS AUX US MAIS PAS EN FRANCE... Coronavirus : les tests de dépistage ariégeois validés aux Etats-Unis https://www.ladepeche.fr/2020/03/24/coronavirus-les-tests-de-depistage-ariegeois-valides-aux-etats-unis,8816888.php via @ladepechedumidi"
91,Et si les gamers et scientifiques s’alliaient pour accélérer la #recherche de traitement contre le coronavirus ? &gt;&gt; https://bit.ly/2WIsXWq #Covid19 #sante #management #medecine
92,Fox News anchors fail to challenge Trump as he misleads during coronavirus town hall - CNN 
93,A attraper le Coronavirus et mourir en martyre. Je ne serai pas de ceux qui le regretteront
94,"im headed to try to sleep,still angry at things ,tired of #coronavirus afraid to have it&amp;give it to my grandma plus belle&amp;chandler sometimes acting weird with us 5 in the house"
95,"Coronavirus : François Asselineau demande au gouvernement d’autoriser sans délai le traitement à base d’hydroxychloroquine, avec l’accord des patients. "
96,#Coronavirus bitince kulaklığımı takıp sokağa çıkıp saatlerce yürüyeceğim
97,#Coronavirus: #Trump veut que «l'Amérique retourne au travail» http://rfi.my/5bvw.T via @RFI
98,Foot - PSG - Coronavirus - Coronavirus : les joueurs du PSG vont prêter leur image pour des messages de prévention | L'Equipe #PSG
99,"⚠️⚠️⚠️ En raison de la pandémie de Coronavirus, Fury-Wilder 3 n’aura pas lieu le 18 juillet comme prévu initialement mais en début octobre ! C’est Bob Arum, le promoteur du Gypsy King qui l’a confirmé "
100,In this group of people everyone dies of the coronavirus
101,Coronavirus Disease 2019 (COVID-19) Epidemiological Report Switzerland - https://go.shr.lc/2vLyQXy via @Shareaholic #CoronaInfoCH #coronavirus
102,Coronavirus. Une demande « massive » de chloroquine mais « pas de pénurie » #Coronavirus #Virus https://www.ouest-france.fr/sante/virus/coronavirus/coronavirus-une-demande-massive-de-chloroquine-mais-pas-de-penurie-6790810 via @ouestfrance
103,This is what happens when you have recommandations instead of strict orders. #coronavirus 
104,hola !!! les dejo el link de mi nueva entrada de blog 🥰 es un video esta vez y habla de mi viaje escapando Europa por el coronavirus. Espero que les guste !! ❤️ https://marceloinholland.blogspot.com/2020/03/the-great-escape.html?m=1
105,"Dans le Haut-Rhin, le coronavirus se propage aussi à cause de la fracture numérique https://eur1.fr/nADxiTA via @europe1 Alors que le ministère de l'Éducation nationale appelle chacun à poursuivre l'école à distance, certaines familles sont dépourvues d'ordinateur"
