,0
57,ECB updates its recommendation: banks should refrain from dividend payments and share buy-backs for at least six months amid the coronavirus pandemic. Capital conserved in this way should be used to support lending to the economy or absorb losses https://www.bankingsupervision.europa.eu/press/pr/date/2020/html/ssm.pr200327~d4d8f81a53.en.html?utm_source=ecb_twitter&amp;utm_medium=social&amp;utm_campaign=200327_pr_dividendrestrictions
58,"#Morocco is also doing #lockdown. unlike europe, people have no income or benefits. There are 2 choices: 1 be killed by starvation at home, or 2. by #corona in such hospitals⬇️ #coronavirus "
59,"The shock of coronavirus could split Europe – unless nations share the burden: without solidarity from its fellow eurozone members, Italy will not be able to respond to the crisis in the same way that other countries can #Coronabonds #COVID2019"
60,"Via @euronews: 🇩🇪 🇩🇪 🇩🇪 Coronavirus: 💀 The German Chancellor Merkel quarantines, just as Italy's death toll exceeds 5,000 from the Wuhan China virus ☣ #COVIDー19 #ChinaVirus #WuhanVirus #China #DNC"
61,We love to welcome you very soon at the New Museum Schloss Sayn and tell you wonderful tales about 200 years of our most exciting life. The after #coronavirus opening will be announced on http://www.sayn.de #NeuesMuseumSchlossSayn #SaynWittgenstein #sayn #europeanheritage
62,The question of China’s stats is very relevant - can you really trust anything they report (incl coronavirus numbers). These however are US exports year on year so I assume they come from the US department of commerce and are accurate.
63,Crucial equipment for treating coronavirus patients intended for ten Irish hospitals is being held back in Italy. The supplier has informed buyers the order has been held back indefinitely due to restrictions on medical exports by the Italian government 
64,"It's a fucking trap. The Fake #Coronavirus Hides the real reason, The total and complete collapse of the financial system... #chemtrails #5G #NWO #Agenda2030 #COVIDー19 pic.twitter.com/qzdz9V7x3H"
65,"Free Trade didn‘t cause the coronavirus outbreak. Nor do free traders think „all production should be outsourced to China.“ Free trade is about giving consumers more choice among competitors against domestic rentiers, and keeping all possible supply chains open. What a country... "
66,How to Significantly Slow Coronavirus? #Masks4All https://youtu.be/HhNo_IOPOtU @margiemarg87
67,My mom is very concerned that i am going to get coronavirus while in Berlin but unfortunately there are about 27 viruses im significantly more likely to contract during my time here
68,#Moscow is using #facialrecognition technology to ensure people ordered to remain at home or at their hotels under #coronavirus #quarantine do so | Reuters
69,"Lord Sumption told Radio 4's The World At One:""Anyone who has studied history will recognise here the classic symptoms of collective hysteria. https://www.mirror.co.uk/news/politics/coronavirus-police-state-hysterical-slide-21780341 #coronavirus"
